expansion,url,name,cost,converted_cost,type,rarity,pt,text
mystery-booster-the-list,/mtg/mystery-booster-the-list/mana-crypt,Mana Crypt,[],0.0,Artifact,M,,"At the beginning of your upkeep, flip a coin. If you lose the flip, Mana Crypt deals 3 damage to you.  {T}: Add {C}{C}."
mystery-booster-the-list,/mtg/mystery-booster-the-list/vampiric-tutor,Vampiric Tutor,['B'],1.0,Instant,M,,"Search your library for a card, then shuffle your library and put that card on top of it. You lose 2 life."
mystery-booster-the-list,/mtg/mystery-booster-the-list/anointed-procession,Anointed Procession,"['3', 'W']",4.0,Enchantment,R,,"If an effect would create one or more tokens under your control, it creates twice that many of those tokens instead."
mystery-booster-the-list,/mtg/mystery-booster-the-list/senseis-divining-top,Sensei's Divining Top,['1'],1.0,Artifact,R,,"{1}: Look at the top three cards of your library, then put them back in any order.  {T}: Draw a card, then put Sensei's Divining Top on top of its owner's library."
mystery-booster-the-list,/mtg/mystery-booster-the-list/demonic-tutor-duel-deck-divine-vs-demonic,Demonic Tutor (Duel Deck: Divine Vs. Demonic),"['1', 'B']",2.0,Sorcery,U,,"Search your library for a card, put that card into your hand, then shuffle your library."
mystery-booster-the-list,/mtg/mystery-booster-the-list/exquisite-blood,Exquisite Blood,"['4', 'B']",5.0,Enchantment,R,,"Whenever an opponent loses life, you gain that much life."
mystery-booster-the-list,/mtg/mystery-booster-the-list/mikaeus-the-unhallowed,"Mikaeus, the Unhallowed","['3', 'B', 'B', 'B']",6.0,Legendary Creature - Zombie Cleric,M,5/5,"Intimidate Whenever a Human deals damage to you, destroy it. Other non-Human creatures you control get +1/+1 and have undying."
mystery-booster-the-list,/mtg/mystery-booster-the-list/purphoros-god-of-the-forge,"Purphoros, God of the Forge","['3', 'R']",4.0,Legendary Enchantment Creature - God,M,6/5,"Indestructible As long as your devotion to red is less than five, Purphoros isn’t a creature. Whenever another creature enters the battlefield under your control, Purphoros deals 2 damage to each opponent.  {2}{R}: Creatures you control get +1/+0 until end of turn."
mystery-booster-the-list,/mtg/mystery-booster-the-list/old-gnawbone,Old Gnawbone,"['5', 'G', 'G']",7.0,Legendary Creature - Dragon,M,7/7,"Flying Whenever a creature you control deals combat damage to a player, create that many Treasure tokens."
mystery-booster-the-list,/mtg/mystery-booster-the-list/zacama-primal-calamity,"Zacama, Primal Calamity","['6', 'R', 'G', 'W']",9.0,Legendary Creature - Elder Dinosaur,M,9/9,"Vigilance, reach, trample When Zacama, Primal Calamity enters the battlefield, if you cast it, untap all lands you control.  {2}{R}: Zacama deals 3 damage to target creature.  {2}{G}: Destroy target artifact or enchantment.  {2}{W}: You gain 3 life."
